Source,Target,Type,Id,Label,Intercal,Weight
3795579,777777,,,,,
3797736,777777,,,,,
3809289,777777,,,,,
3809630,777777,,,,,
3813087,777777,,,,,
3815552,777777,,,,,
3815594,777777,,,,,
3818136,777777,,,,,
3831044,777777,,,,,
3839766,777777,,,,,
3845577,777777,,,,,
3845724,777777,,,,,
3850909,777777,,,,,
3860237,777777,,,,,
3862316,777777,,,,,
3865405,777777,,,,,
3873333,777777,,,,,
3875285,777777,,,,,
3880497,777777,,,,,
3884489,777777,,,,,
3893123,777777,,,,,
3897143,777777,,,,,
3897554,777777,,,,,
3903038,777777,,,,,
3913154,777777,,,,,
3916650,777777,,,,,
3917287,777777,,,,,
3921006,777777,,,,,
3925796,777777,,,,,
3956482,777777,,,,,
3963670,777777,,,,,
3969812,777777,,,,,
3980983,777777,,,,,
3995528,777777,,,,,
4014160,777777,,,,,
4021377,777777,,,,,
4032447,777777,,,,,
4033040,777777,,,,,
4037662,777777,,,,,
4039539,777777,,,,,
4056523,777777,,,,,
4057722,777777,,,,,
4062793,777777,,,,,
4083925,777777,,,,,
4084996,777777,,,,,
4087736,777777,,,,,
4097422,777777,,,,,
4114969,777777,,,,,
4116499,777777,,,,,
4123370,777777,,,,,
4125341,777777,,,,,
4127674,777777,,,,,
4132491,777777,,,,,
4139550,777777,,,,,
4145537,777777,,,,,
4145944,777777,,,,,
4146368,777777,,,,,
4152607,777777,,,,,
4161834,777777,,,,,
4179119,777777,,,,,
4182472,777777,,,,,
4239214,777777,,,,,
4245267,777777,,,,,
4279491,777777,,,,,
4296044,777777,,,,,
4297351,777777,,,,,
4306033,777777,,,,,
4322908,777777,,,,,
4323096,777777,,,,,
4346886,777777,,,,,
4364492,777777,,,,,
4367350,777777,,,,,
4381124,777777,,,,,
4383337,777777,,,,,
4383686,777777,,,,,
4385663,777777,,,,,
4393924,777777,,,,,
4421885,777777,,,,,
4426305,777777,,,,,
4426468,777777,,,,,
4440382,777777,,,,,
4448914,777777,,,,,
4456570,777777,,,,,
4458414,777777,,,,,
4466142,777777,,,,,
4470487,777777,,,,,
4473054,777777,,,,,
4488234,777777,,,,,
4488271,777777,,,,,
4491335,777777,,,,,
4495932,777777,,,,,
4509231,777777,,,,,
4515212,777777,,,,,
4516673,777777,,,,,
4520142,777777,,,,,
4524506,777777,,,,,
4535138,777777,,,,,
4547177,777777,,,,,
4548200,777777,,,,,
4556919,777777,,,,,
4560098,777777,,,,,
4564373,777777,,,,,
4583312,777777,,,,,
4588573,777777,,,,,
4596249,777777,,,,,
4597466,777777,,,,,
4604358,777777,,,,,
4610803,777777,,,,,
4620381,777777,,,,,
4622360,777777,,,,,
4641377,777777,,,,,
4658353,777777,,,,,
4700354,777777,,,,,
4709367,777777,,,,,
4710437,777777,,,,,
4712306,777777,,,,,
4723850,777777,,,,,
4726264,777777,,,,,
4731047,777777,,,,,
4742536,777777,,,,,
4743739,777777,,,,,
4750561,777777,,,,,
4755969,777777,,,,,
4764349,777777,,,,,
4767325,777777,,,,,
4775218,777777,,,,,
4779653,777777,,,,,
4782938,777777,,,,,
4817741,777777,,,,,
4824598,777777,,,,,
4831049,777777,,,,,
4841076,777777,,,,,
4855993,777777,,,,,
4867641,777777,,,,,
4868889,777777,,,,,
4870883,777777,,,,,
4870885,777777,,,,,
4873323,777777,,,,,
4882831,777777,,,,,
4885997,777777,,,,,
4889135,777777,,,,,
4894832,777777,,,,,
4897833,777777,,,,,
4901142,777777,,,,,
4902453,777777,,,,,
4906135,777777,,,,,
4918370,777777,,,,,
4933700,777777,,,,,
4950138,777777,,,,,
4952267,777777,,,,,
4953964,777777,,,,,
4957321,777777,,,,,
5011215,777777,,,,,
5015169,777777,,,,,
5016025,777777,,,,,
5032216,777777,,,,,
5052023,777777,,,,,
5088368,777777,,,,,
5088528,777777,,,,,
5089310,777777,,,,,
5104821,777777,,,,,
5130491,777777,,,,,
5131482,777777,,,,,
5133461,777777,,,,,
5139836,777777,,,,,
5150598,777777,,,,,
5158317,777777,,,,,
5164880,777777,,,,,
5168724,777777,,,,,
5174164,777777,,,,,
5175454,777777,,,,,
5178299,777777,,,,,
5182686,777777,,,,,
5184417,777777,,,,,
